comm_type,comm_group,comm_group_size,msg_size,stage,dst,src,additional,_elapsed_time,algbw,busbw,count
CommType.all_reduce,CommGroup.dp_group,4,8,init.model_setup,None,None,,3380.222900390625,0.0,0.0,1
CommType.all_reduce,CommGroup.dp_group,4,8,init.model_setup,None,None,,0.15667200088500977,0.0,0.0,1
CommType.all_reduce,CommGroup.dp_group,4,8,init.model_setup,None,None,,0.09625600278377533,0.0,0.0,1
CommType.all_reduce,CommGroup.dp_group,4,8,init.model_setup,None,None,,0.0870399996638298,0.0,0.0,1
CommType.all_gather,CommGroup.dp_group,4,32,init.model_setup,None,None,,0.11776000261306763,0.0,0.0,1
CommType.broadcast,CommGroup.tp_group,2,24,init.model_setup,None,0,,675.4068603515625,0.0,0.0,1
CommType.all_gather,CommGroup.dp_group,4,64,init.model_setup,None,None,,0.15769599378108978,0.0,0.0,1
CommType.epoch_end,None,None,0,,None,None,,7950.41298866272,0.0,0.0,1
CommType.broadcast,CommGroup.tp_group,2,40,forward_step,None,0,,0.131071999669075,0.0,0.0,1
CommType.broadcast,CommGroup.tp_group,2,16448,forward_step,None,0,,0.09830400347709656,0.17,0.17,1
CommType.all_reduce,CommGroup.tp_group,2,16777216,forward.MegatronEmbedding,None,None,,0.20070399343967438,83.59,146.29,1
CommType.all_gather,CommGroup.tp_group,2,16777216,forward.MegatronColumnLinear,None,None,,0.14028799533843994,119.59,104.64,1
CommType.reduce_scatter,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.16281600296497345,103.04,90.16,1
CommType.all_gather,CommGroup.tp_group,2,65536,forward.MoE,None,None,,0.09011200070381165,0.73,0.64,1
CommType.all_gather,CommGroup.tp_group,2,32,forward.MoE,None,None,,0.07782399654388428,0.0,0.0,1
CommType.all_to_all,CommGroup.tp_group,2,8388608,forward.MoE,None,None,,327.4864501953125,0.03,0.03,1
CommType.all_to_all,CommGroup.ep_group,None,33554432,forward.MoE,None,None,,2406.90576171875,0.01,0.01,1
CommType.all_gather,CommGroup.tp_group,None,134217728,forward.MoE,None,None,,0.6010879874229431,223.29,195.38,1
CommType.reduce_scatter,CommGroup.tp_group,None,134217728,forward.MoE,None,None,,0.5386239886283875,249.19,218.04,1
CommType.all_to_all,CommGroup.ep_group,None,33554432,forward.MoE,None,None,,0.2467840015888214,135.97,135.97,1
CommType.all_to_all,CommGroup.tp_group,None,8388608,forward.MoE,None,None,,0.12390399724245071,67.7,67.7,1
CommType.all_gather,CommGroup.tp_group,2,16777216,forward.MegatronColumnLinear,None,None,,0.14745600521564484,113.78,99.56,1
CommType.reduce_scatter,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.15564799308776855,107.79,94.32,1
CommType.all_gather,CommGroup.tp_group,2,65536,forward.MoE,None,None,,0.08396799862384796,0.78,0.68,1
CommType.all_gather,CommGroup.tp_group,2,32,forward.MoE,None,None,,0.0798719972372055,0.0,0.0,1
CommType.all_to_all,CommGroup.tp_group,2,8388608,forward.MoE,None,None,,0.11673600226640701,71.86,71.86,1
CommType.all_to_all,CommGroup.ep_group,None,33554432,forward.MoE,None,None,,0.2099200040102005,159.84,159.84,1
CommType.all_gather,CommGroup.tp_group,None,134217728,forward.MoE,None,None,,0.5130239725112915,261.62,228.92,1
CommType.reduce_scatter,CommGroup.tp_group,None,134217728,forward.MoE,None,None,,0.52019202709198,258.02,225.76,1
CommType.all_to_all,CommGroup.ep_group,None,33554432,forward.MoE,None,None,,0.2170879989862442,154.57,154.57,1
CommType.all_to_all,CommGroup.tp_group,None,8388608,forward.MoE,None,None,,0.1157120019197464,72.5,72.5,1
CommType.all_gather,CommGroup.tp_group,2,16777216,forward.MegatronColumnLinear,None,None,,0.1372160017490387,122.27,106.99,1
CommType.reduce_scatter,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.14028799533843994,119.59,104.64,1
CommType.all_gather,CommGroup.tp_group,2,65536,forward.MoE,None,None,,0.09113600105047226,0.72,0.63,1
CommType.all_gather,CommGroup.tp_group,2,32,forward.MoE,None,None,,0.07884799689054489,0.0,0.0,1
CommType.all_to_all,CommGroup.tp_group,2,8388608,forward.MoE,None,None,,0.11059200018644333,75.85,75.85,1
CommType.all_to_all,CommGroup.ep_group,None,33554432,forward.MoE,None,None,,0.2088959962129593,160.63,160.63,1
CommType.all_gather,CommGroup.tp_group,None,134217728,forward.MoE,None,None,,0.5099520087242126,263.2,230.3,1
CommType.reduce_scatter,CommGroup.tp_group,None,134217728,forward.MoE,None,None,,0.5130239725112915,261.62,228.92,1
CommType.all_to_all,CommGroup.ep_group,None,33554432,forward.MoE,None,None,,0.20787200331687927,161.42,161.42,1
CommType.all_to_all,CommGroup.tp_group,None,8388608,forward.MoE,None,None,,0.1085439994931221,77.28,77.28,1
CommType.all_gather,CommGroup.tp_group,2,16777216,forward.MegatronColumnLinear,None,None,,0.14745600521564484,113.78,99.56,1
CommType.reduce_scatter,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.1382399946451187,121.36,106.19,1
CommType.all_gather,CommGroup.tp_group,2,65536,forward.MoE,None,None,,0.08089599758386612,0.81,0.71,1
CommType.all_gather,CommGroup.tp_group,2,32,forward.MoE,None,None,,0.07782399654388428,0.0,0.0,1
CommType.all_to_all,CommGroup.tp_group,2,8388608,forward.MoE,None,None,,0.11468800157308578,73.14,73.14,1
CommType.all_to_all,CommGroup.ep_group,None,33554432,forward.MoE,None,None,,0.22220799326896667,151.0,151.0,1
CommType.all_gather,CommGroup.tp_group,None,134217728,forward.MoE,None,None,,0.5109760165214539,262.67,229.84,1
CommType.reduce_scatter,CommGroup.tp_group,None,134217728,forward.MoE,None,None,,0.5171200037002563,259.55,227.1,1
CommType.all_to_all,CommGroup.ep_group,None,33554432,forward.MoE,None,None,,0.20787200331687927,161.42,161.42,1
CommType.all_to_all,CommGroup.tp_group,None,8388608,forward.MoE,None,None,,0.10956799983978271,76.56,76.56,1
CommType.all_gather,CommGroup.tp_group,2,16777216,forward.MegatronColumnLinear,None,None,,0.13926400244235992,120.47,105.41,1
CommType.reduce_scatter,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.14028799533843994,119.59,104.64,1
CommType.all_gather,CommGroup.tp_group,2,65536,forward.MoE,None,None,,0.08396799862384796,0.78,0.68,1
CommType.all_gather,CommGroup.tp_group,2,32,forward.MoE,None,None,,0.07782399654388428,0.0,0.0,1
CommType.all_to_all,CommGroup.tp_group,2,8388608,forward.MoE,None,None,,0.14643199741840363,57.29,57.29,1
CommType.all_to_all,CommGroup.ep_group,None,33554432,forward.MoE,None,None,,0.22220799326896667,151.0,151.0,1
CommType.all_gather,CommGroup.tp_group,None,134217728,forward.MoE,None,None,,0.5058559775352478,265.33,232.16,1
CommType.reduce_scatter,CommGroup.tp_group,None,134217728,forward.MoE,None,None,,0.5130239725112915,261.62,228.92,1
CommType.all_to_all,CommGroup.ep_group,None,33554432,forward.MoE,None,None,,0.21503999829292297,156.04,156.04,1
